modality,gender,gold_emotion,n_paired,n_flip,flip_rate
audio,female,Anger,147,49,0.333333
audio,female,Disgust,32,12,0.375
audio,female,Sadness,89,40,0.449438
audio,female,Joy,173,68,0.393064
audio,female,Neutral,416,171,0.411058
audio,female,Surprise,117,62,0.529915
audio,female,Fear,19,11,0.578947
audio,male,Anger,156,63,0.403846
audio,male,Disgust,33,14,0.424242
audio,male,Sadness,84,31,0.369048
audio,male,Joy,164,70,0.426829
audio,male,Neutral,578,218,0.377163
audio,male,Surprise,121,50,0.413223
audio,male,Fear,27,11,0.407407
text+audio,female,Anger,147,38,0.258503
text+audio,female,Disgust,32,4,0.125
text+audio,female,Sadness,89,14,0.157303
text+audio,female,Joy,173,30,0.17341
text+audio,female,Neutral,416,83,0.199519
text+audio,female,Surprise,117,21,0.179487
text+audio,female,Fear,19,4,0.210526
text+audio,male,Anger,156,27,0.173077
text+audio,male,Disgust,33,5,0.151515
text+audio,male,Sadness,84,12,0.142857
text+audio,male,Joy,164,28,0.170732
text+audio,male,Neutral,578,64,0.110727
text+audio,male,Surprise,121,21,0.173554
text+audio,male,Fear,27,6,0.222222
audio+video,female,Anger,147,45,0.306122
audio+video,female,Disgust,32,9,0.28125
audio+video,female,Sadness,89,23,0.258427
audio+video,female,Joy,173,54,0.312139
audio+video,female,Neutral,416,132,0.317308
audio+video,female,Surprise,117,50,0.42735
audio+video,female,Fear,19,7,0.368421
audio+video,male,Anger,156,54,0.346154
audio+video,male,Disgust,33,12,0.363636
audio+video,male,Sadness,84,23,0.27381
audio+video,male,Joy,164,55,0.335366
audio+video,male,Neutral,578,198,0.342561
audio+video,male,Surprise,121,46,0.380165
audio+video,male,Fear,27,9,0.333333
text+audio+video,female,Anger,147,24,0.163265
text+audio+video,female,Disgust,32,2,0.0625
text+audio+video,female,Sadness,89,11,0.123596
text+audio+video,female,Joy,173,7,0.040462
text+audio+video,female,Neutral,416,54,0.129808
text+audio+video,female,Surprise,117,15,0.128205
text+audio+video,female,Fear,19,0,0.0
text+audio+video,male,Anger,156,23,0.147436
text+audio+video,male,Disgust,33,5,0.151515
text+audio+video,male,Sadness,84,4,0.047619
text+audio+video,male,Joy,164,17,0.103659
text+audio+video,male,Neutral,578,67,0.115917
text+audio+video,male,Surprise,121,12,0.099174
text+audio+video,male,Fear,27,0,0.0
