modality,gender,bl_pred,cf_pred,count
audio,female,Anger,Anger,144
audio,female,Anger,Disgust,15
audio,female,Anger,Joy,4
audio,female,Anger,Neutral,5
audio,female,Anger,Sadness,4
audio,female,Anger,Surprise,3
audio,female,Disgust,Anger,30
audio,female,Disgust,Disgust,57
audio,female,Disgust,Fear,1
audio,female,Disgust,Joy,2
audio,female,Disgust,Neutral,2
audio,female,Disgust,Sadness,5
audio,female,Disgust,Surprise,2
audio,female,Fear,Anger,2
audio,female,Fear,Disgust,1
audio,female,Fear,Fear,6
audio,female,Fear,Neutral,3
audio,female,Joy,Anger,19
audio,female,Joy,Disgust,8
audio,female,Joy,Joy,69
audio,female,Joy,Neutral,3
audio,female,Joy,Sadness,7
audio,female,Joy,Surprise,9
audio,female,Neutral,Anger,67
audio,female,Neutral,Disgust,47
audio,female,Neutral,Fear,3
audio,female,Neutral,Joy,24
audio,female,Neutral,Neutral,195
audio,female,Neutral,Sadness,28
audio,female,Neutral,Surprise,20
audio,female,Sadness,Anger,22
audio,female,Sadness,Disgust,10
audio,female,Sadness,Joy,1
audio,female,Sadness,Neutral,11
audio,female,Sadness,Sadness,58
audio,female,Sadness,Surprise,1
audio,female,Surprise,Anger,41
audio,female,Surprise,Disgust,4
audio,female,Surprise,Joy,3
audio,female,Surprise,Neutral,2
audio,female,Surprise,Sadness,4
audio,female,Surprise,Surprise,51
audio,male,Anger,Anger,117
audio,male,Anger,Disgust,32
audio,male,Anger,Joy,7
audio,male,Anger,Neutral,16
audio,male,Anger,Sadness,12
audio,male,Anger,Surprise,1
audio,male,Disgust,Anger,14
audio,male,Disgust,Disgust,56
audio,male,Disgust,Joy,4
audio,male,Disgust,Neutral,8
audio,male,Disgust,Sadness,5
audio,male,Fear,Anger,1
audio,male,Fear,Disgust,3
audio,male,Fear,Fear,7
audio,male,Fear,Neutral,1
audio,male,Joy,Anger,9
audio,male,Joy,Disgust,11
audio,male,Joy,Joy,58
audio,male,Joy,Neutral,16
audio,male,Joy,Sadness,2
audio,male,Joy,Surprise,2
audio,male,Neutral,Anger,52
audio,male,Neutral,Disgust,85
audio,male,Neutral,Fear,3
audio,male,Neutral,Joy,29
audio,male,Neutral,Neutral,365
audio,male,Neutral,Sadness,40
audio,male,Neutral,Surprise,2
audio,male,Sadness,Anger,4
audio,male,Sadness,Disgust,15
audio,male,Sadness,Joy,1
audio,male,Sadness,Neutral,15
audio,male,Sadness,Sadness,74
audio,male,Surprise,Anger,13
audio,male,Surprise,Disgust,18
audio,male,Surprise,Fear,2
audio,male,Surprise,Joy,5
audio,male,Surprise,Neutral,19
audio,male,Surprise,Sadness,10
audio,male,Surprise,Surprise,29
text+audio,female,Anger,Anger,134
text+audio,female,Anger,Disgust,5
text+audio,female,Anger,Joy,1
text+audio,female,Anger,Neutral,2
text+audio,female,Anger,Surprise,1
text+audio,female,Disgust,Anger,17
text+audio,female,Disgust,Disgust,69
text+audio,female,Disgust,Sadness,1
text+audio,female,Disgust,Surprise,1
text+audio,female,Fear,Anger,2
text+audio,female,Fear,Disgust,1
text+audio,female,Fear,Fear,7
text+audio,female,Fear,Neutral,1
text+audio,female,Joy,Anger,5
text+audio,female,Joy,Joy,110
text+audio,female,Joy,Neutral,8
text+audio,female,Joy,Sadness,1
